image_id,file_name,ours_f1,ours_mean_iou,ours_precision,ours_recall,ours_fp,ours_fn,yolo_f1,yolo_mean_iou,yolo_precision,yolo_recall,yolo_fp,yolo_fn
300745,300745.TIF,0.000,0.000,0.000,0.000,0,1,0.000,0.000,0.000,0.000,0,1
300746,300746.TIF,0.000,0.000,0.000,0.000,0,1,0.000,0.000,0.000,0.000,0,1
300748,300748.TIF,0.930,0.874,0.941,0.920,5,7,0.915,0.860,0.900,0.931,9,6
300749,300749.TIF,0.935,0.865,0.959,0.912,4,9,0.931,0.853,0.940,0.922,6,8
300750,300750.TIF,0.930,0.865,0.952,0.909,4,8,0.930,0.855,0.952,0.909,4,8
300751,300751.TIF,0.903,0.854,0.936,0.871,6,13,0.878,0.863,0.905,0.851,9,15
300752,300752.TIF,0.910,0.873,0.988,0.844,1,15,0.875,0.859,0.963,0.802,3,19
300753,300753.TIF,0.837,0.894,1.000,0.719,0,39,0.820,0.875,0.980,0.705,2,41
300754,300754.TIF,0.905,0.866,1.000,0.826,0,21,0.887,0.857,0.980,0.810,2,23
300755,300755.TIF,0.929,0.870,0.929,0.929,6,6,0.930,0.835,0.909,0.952,8,4
300756,300756.TIF,0.842,0.854,0.800,0.889,2,1,0.889,0.814,0.889,0.889,1,1
300757,300757.TIF,0.800,0.822,1.000,0.667,0,4,0.762,0.872,0.889,0.667,1,4
300758,300758.TIF,1.000,0.906,1.000,1.000,0,0,0.833,0.941,0.833,0.833,1,1
300759,300759.TIF,0.842,0.859,0.774,0.923,7,2,0.808,0.872,0.808,0.808,5,5
300760,300760.TIF,0.944,0.883,0.966,0.924,3,7,0.894,0.850,0.920,0.870,7,12
300761,300761.TIF,0.840,0.877,1.000,0.725,0,38,0.840,0.876,1.000,0.725,0,38
300762,300762.TIF,0.908,0.867,0.940,0.879,6,13,0.899,0.862,0.930,0.869,7,14
300763,300763.TIF,0.964,0.863,0.964,0.964,3,3,0.936,0.844,0.910,0.964,8,3
300764,300764.TIF,0.952,0.875,0.930,0.976,3,1,0.952,0.859,0.930,0.976,3,1
300770,300770.TIF,0.936,0.861,0.979,0.896,2,11,0.942,0.862,0.970,0.915,3,9
300771,300771.TIF,0.935,0.877,0.989,0.887,1,12,0.932,0.866,0.960,0.906,4,10
300772,300772.TIF,0.898,0.869,0.933,0.866,6,13,0.912,0.839,0.917,0.907,8,9
300773,300773.TIF,0.925,0.867,0.939,0.912,6,9,0.901,0.853,0.910,0.892,9,11
300774,300774.TIF,0.889,0.858,0.941,0.842,5,15,0.889,0.851,0.941,0.842,5,15
300775,300775.TIF,0.904,0.887,0.990,0.832,1,20,0.904,0.855,0.990,0.832,1,20
300776,300776.TIF,0.891,0.886,0.980,0.817,2,22,0.891,0.862,0.980,0.817,2,22
300777,300777.TIF,0.877,0.889,1.000,0.781,0,28,0.851,0.861,0.970,0.758,3,31
